,관할보건소,동,설치기관이름,설치기관주소,기관연락처,설치 위치,경도,위도
91,북구,용봉동,용주초등학교,광주광역시 북구 용주로 15 용주초 (용봉동),062-510-5600,본관 중앙 1층,126.898969938893,35.1815846974965
92,북구,신용동,신용유치원,광주광역시 북구 첨단연신로 232-6 (신용동),062-717-2206,본관 1층 현관입구 오른쪽,126.858244756405,35.2102719055574
93,북구,일곡동,서일초등학교,광주광역시 북구 설죽로 590 서일초 (일곡동),062-570-5775,본관 1층 현관,126.898951350574,35.2123806012961
94,북구,망월동,광주동초등학교,광주광역시 북구 석곡로 527 광주동초 (망월동),062-250-2700,학교 중앙 현관,126.95110886078,35.2057871470699
95,북구,운암동,광주동운초등학교,"광주광역시 북구 북문대로8번길 21', ' 동운초등학교 (운암동)",062-520-5571,교무실,126.884121123774,35.1749367883726
96,북구,용봉동,태봉초등학교,광주광역시 북구 청계로 33 태봉초 (용봉동),062-519-1700,본교 중앙현관(인쇄실 옆),126.892263424822,35.1765107718167
97,북구,매곡동,매곡초등학교,광주광역시 북구 초당로 25 매곡초 (매곡동),062-570-5874,현관 앞,126.894297271173,35.1942602502921
98,북구,삼각동,국제고등학교,"광주광역시 북구 설죽로 433', ' 학교법인춘태학원 (삼각동)",062-573-9761,본관 1층 중앙현관,126.895612324385,35.1991144593752
99,북구,두암동,두암주공2단지아파트,"광주광역시 북구 삼정로 7 (두암동', ' 율곡타운아파트', '두암주공2단지아파트)",062-266-4879,202동 현관,126.934585689736,35.1652899121618
100,북구,두암동,두암주공2단지아파트,"광주광역시 북구 삼정로 7 (두암동', ' 율곡타운아파트', '두암주공2단지아파트)",062-266-4879,205동 현관,126.934585689736,35.1652899121618
101,북구,두암동,두암주공2단지아파트,"광주광역시 북구 삼정로 7 (두암동', ' 율곡타운아파트', '두암주공2단지아파트)",062-266-4879,209동 현관,126.934585689736,35.1652899121618
102,북구,두암동,광주동신여자고등학교,"광주광역시 북구 동문대로 50', ' 동강대학', '동신중.고', '동신여중.고등학교 (두암동)",062-520-2178,중앙현관 출입구 숙직실 맞은편,126.92234609245,35.1694378564351
103,북구,임동,서림초등학교,광주광역시 북구 서림로 113 서림초 (임동),062-520-8608,현관(교무실옆),126.899586571334,35.1618825285044
104,북구,오치동,오치초등학교,광주광역시 북구 설죽로 290 오치초 (오치동),062-250-0604,본관 1층,126.899280012687,35.1857367800956
105,북구,두암동,광주동신여자중학교,광주광역시 북구 동문대로 50 동신여중 (두암동),062-520-2137,중앙현관,126.92234609245,35.1694378564351
106,북구,두암동,광주동신여자중학교,광주광역시 북구 동문대로 50 동신여중 (두암동),062-520-2137,보건실,126.92234609245,35.1694378564351
107,광산구,산정동,산정초등학교,"광주광역시 광산구 목련로22번길 11', ' 산정초등학교 (산정동)",062-960-3501,1층 중앙현관,126.801013026494,35.1722060993979
108,광산구,산정동,산정초등학교,"광주광역시 광산구 목련로22번길 11', ' 산정초등학교 (산정동)",062-960-3501,강당입구,126.801013026494,35.1722060993979
109,광산구,월계동,첨단초등학교,"광주광역시 광산구 임방울대로 727-20', ' 첨단초등학교 (월계동)",062-970-3888,보건실 앞,126.83789437626,35.2198640470188
110,광산구,월계동,천곡중학교,"광주광역시 광산구 월계로16번길 78', ' 천곡중학교 (월계동)",062-970-4063,본관1층 중앙현관,126.834875241569,35.2119587323104
111,광산구,도산동,송정서초등학교,"광주광역시 광산구 상무대로 114', ' 송정서초등학교 (도산동)",062-949-2303,1층 중앙현관,126.788096984597,35.1304629973544
112,광산구,도산동,송정서초등학교,"광주광역시 광산구 상무대로 114', ' 송정서초등학교 (도산동)",062-949-2303,강당입구,126.788096984597,35.1304629973544
113,광산구,월계동,미산초등학교,"광주광역시 광산구 첨단중앙로181번길 70', ' 미산초등학교 (월계동)",062-970-9678,보건실 주변 복도,126.833816395072,35.2198825839548
114,광산구,운남동,목련초등학교,"광주광역시 광산구 목련로153번길 20', ' 목련초등학교 (운남동)",062-958-5891,보건실 앞,126.81560704509,35.1729033178284
115,광산구,신가동,선창초등학교,"광주광역시 광산구 신창로35번길 67', ' 선창초등학교 (신가동)",062-958-3270,본관1층,126.834562477483,35.1883360226265
116,광산구,월계동,첨단고등학교,"광주광역시 광산구 산월로 12-17', ' 첨단고등학교 (월계동)",062-970-4360,1층 현관 중앙,126.837561927052,35.2067268689909
117,광산구,산월동,봉산중학교,"광주광역시 광산구 산월로 67', ' 봉산중학교 (산월동)",062-970-4404,후관1층 중앙현관,126.844713669364,35.20952981027
118,광산구,수완동,수완고등학교,광주광역시 광산구 장덕로 155 (수완동),062-960-4511,본관 현관 로비,126.825938604239,35.1980692770292
119,광산구,산월동,월봉중학교,"광주광역시 광산구 산월로 107', ' 월봉중학교 (산월동)",062-960-1720,1층 행정실 앞,126.848978517519,35.2094373181191
120,남구,행암동,효천LH천년나무1단지아파트,"광주광역시 남구 효우로 260 (행암동', ' 효천엘에이치천년나무1단지아파트)",062-674-6328,경비실 입구,126.88844056756,35.1035681940675
121,남구,노대동,휴먼시아3차아파트,광주광역시 남구 효우로60번길 10 관리사무소 내,062-675-1058,제1경비실 내,126.902386261253,35.110178862475
122,남구,송하동,송원여자상업고등학교,"광주광역시 남구 송암로 73', ' 송원대학교', '송원학원 (송하동)",062-360-5988,1층 취업실 옆,126.873266442573,35.1081845052901
123,남구,백운동,서광중학교,광주광역시 남구 진다리로24번길 13 (백운동),062-603-8262,본관1층 현관입구,126.904262396212,35.1363461642827
124,남구,방림동,동일미래과학고등학교,"광주광역시 남구 천변좌로604번길 12', ' 동일미래과학고등학교 (방림동)",062-650-6315,교무실,126.928594285005,35.1261203872134
125,남구,주월동,광주제석초등학교,"광주광역시 남구 봉선로51번길 14', ' 제석초등학교 (주월동)",062-650-6790,본관1층 보건실 앞 복도,126.906410683122,35.1279326236498
126,남구,양림동,수피아여자고등학교,광주광역시 남구 백서로 13 (양림동),062-670-3086,중앙현관 입구 내측,126.911613966574,35.1371931710119
127,남구,월산동,무진중학교,광주광역시 남구 중앙로 7 (월산동),062-350-5321,2층 강당 계단,126.899730465164,35.1459607528445
128,남구,봉선동,봉선초등학교,광주광역시 남구 봉선중앙로118번길 4 봉선초등학교 (봉선동),062-670-4107,중앙현관,126.912165187848,35.130798760725
129,남구,방림동,숭의중학교,광주광역시 남구 오방로 34-13 (방림동),010-****-****,행정실 앞,126.923769855646,35.1290241682655
130,남구,월산동,농성초등학교,광주광역시 남구 금화로481번길 7 (월산동),062-360-6503,중앙현관,126.890695086316,35.1482285154477
131,광산구,도산동,도산초등학교,"광주광역시 광산구 송정외로 6', ' 도산초등학교 (도산동)",062-940-7174,2층 강당 앞,126.791752557294,35.1261929101705
132,광산구,신창동,수문초등학교,"광주광역시 광산구 신창로105번길 9', ' 수문초등학교 (신창동)",062-958-4296,중앙현관,126.837267149416,35.1944603294743
133,동구,지산동,광주동산초등학교,"광주광역시 동구 준법로 16', ' 동산초등학교 (지산동)",062-230-9201,본관 1층 교육지원실 앞,126.935555264802,35.1485560541942
134,동구,계림동,광주계림초등학교,광주광역시 동구 중앙로 320 (계림동),062-221-8700,본관 현관,126.921973816475,35.1604071755773
135,동구,소태동,광주남초등학교,"광주광역시 동구 지원로5번길 20', ' 광주남초등학교 (소태동)",062-220-1680,사랑동1층 중앙통로 남자화장실쪽 벽,126.933066061667,35.1255430012443
136,동구,계림동,광주계림초등학교,광주광역시 동구 중앙로 320 (계림동),062-221-8700,강당,126.921973816475,35.1604071755773
137,남구,노대동,진남중학교,"광주광역시 남구 노대실로41번길 21', ' 진남중학교 (노대동)",062-717-3475,학교1층 현관,126.908715043184,35.1067585988704
138,남구,노대동,진남유치원,"광주광역시 남구 노대실로 67', ' 진남유치원 (노대동)",062-650-6000,진남유치원 현관 입구,126.906194902182,35.1034074642099
139,남구,주월동,장산초등학교,"광주광역시 남구 회서로 27', ' 장산초등학교 (주월동)",062-650-2350,본관 현관,126.894831622714,35.1305265383239
140,남구,봉선동,조봉초등학교,"광주광역시 남구 봉선로144번길 8', ' 조봉초등학교 (봉선동)",062-650-3587,중앙 현관 출입문 옆,126.910630095766,35.1221860944669
141,광산구,신창동,신가중학교,"광주광역시 광산구 신창로 26', ' 신가중학교 (신창동)",062-960-7353,본관1층 행정실 앞,126.837847089251,35.1876840986743
142,광산구,남산동,본량초등학교,"광주광역시 광산구 용진로 323', ' 본량초등학교 (남산동)",062-943-9568,1층 교무실 앞 복도,126.722379855274,35.1808217594719
143,광산구,선암동,선운초등학교,"광주광역시 광산구 선운중앙로 11', ' 선운초등학교 (선암동)",062-717-9389,1층 중앙 보건실 앞,126.774953541563,35.1494263685655
144,광산구,신가동,진만초등학교,"광주광역시 광산구 목련로394번길 40-10', ' 진만초등학교 (신가동)",062-958-5673,본관1층,126.834044278256,35.1835127967075
145,광산구,월계동,산월초등학교,"광주광역시 광산구 산월로9번길 36', ' 산월초등학교 (월계동)",062-970-4701,본관1층,126.83905303285,35.2109717003255
146,서구,유촌동,유덕중학교,"광주광역시 서구 상무버들로 29', ' 유덕중학교 (유촌동)",062-370-2754,본관 중앙 신발장,126.859710215108,35.1635988515923
147,서구,풍암동,풍암중학교,"광주광역시 서구 풍암순환로 51', ' 풍암중학교 (풍암동)",062-650-9552,중앙 현관,126.878123148545,35.1223590426506
148,서구,화정동,화정남초등학교,"광주광역시 서구 염화로 37', ' 화정남초등학교 (화정동)",062-602-2280,본관 2층 보건실 앞,126.871625257268,35.1378563249275
149,북구,일곡동,일신중학교,광주광역시 북구 일곡택지로 107 일신중 (일곡동),062-605-6606,본관 1층 현관,126.893663274486,35.2115251066248
150,광산구,신창동,신창중학교,"광주광역시 광산구 왕버들로290번길 40', ' 신창중학교 (신창동)",062-958-9500,본관1층 중앙현관 옆,126.839374638145,35.1934406478202
151,광산구,월곡동,월곡중학교,"광주광역시 광산구 월곡산정로 95', ' 월곡중학교 (월곡동)",062-950-7605,중앙현관,126.81340318381,35.1667178989531
152,광산구,선암동,선운중학교,"광주광역시 광산구 선운로20번길 37', ' 선운중학교 (선암동)",062-717-9480,전관1층 보건실 앞,126.774826099666,35.148242286973
153,광산구,월계동,월계초등학교,"광주광역시 광산구 첨단내촌로 83', ' 월계초등학교 (월계동)",062-970-4802,본관1층(중앙로비),126.834870599518,35.2136003556556
154,남구,주월동,금당중학교,"광주광역시 남구 회재로1156번길 9', ' 금당중학교 (주월동)",062-650-0857,강당입구,126.888894863656,35.1300756072758
155,남구,주월동,광주삼육초등학교,광주광역시 남구 회서로 30 (주월동),062-230-3636,중앙 현관,126.893731973537,35.130233897893
156,남구,방림동,동일미래과학고등학교,"광주광역시 남구 천변좌로604번길 12', ' 동일미래과학고등학교 (방림동)",062-650-6315,다목적체육관,126.928594285005,35.1261203872134
157,광산구,도산동,도산초등학교,"광주광역시 광산구 송정외로 6', ' 도산초등학교 (도산동)",062-940-7174,1층복도 행정실 앞,126.791752557294,35.1261929101705
158,광산구,신가동,신가초등학교,"광주광역시 광산구 신가로40번길 21', ' 신가초등학교 (신가동)",062-960-5173,후관 1층 출입구,126.827877281013,35.1834343347697
159,광산구,운남동,운남고등학교,"광주광역시 광산구 하남대로 248-22', ' 운남초등학교 (운남동)",062-958-5779,본관1층(현관),126.819284843722,35.1776044736701
160,남구,주월동,주월중학교,"광주광역시 남구 옹정길 9', ' 주월중학교 (주월동)",062-670-5810,본관동 1층,126.903987281622,35.1278682636136
161,남구,방림동,단설방림유치원,"광주광역시 남구 큰방림길 20', ' 단설 방림유치원 (방림동)",062-608-8500,유치원내 1층 현관 입구,126.920967366803,35.134042427615
162,광산구,신촌동,송정동초등학교,"광주광역시 광산구 사암로27번길 58', ' 송정동초등학교 (신촌동)",062-949-2818,현관입구,126.804890723236,35.1458893281603
163,서구,화정동,화운유치원,"광주광역시 서구 화운로194번길 6', ' 화운유치원 (화정동)",062-376-8151,2층 복도,126.877020856818,35.1560400258278
164,동구,용산동,용산계룡리슈빌아파트,"광주광역시 동구 용산1길 2 (용산동', ' 계룡리슈빌 더 포레스트)",6538973,관리사무소 입구,126.924153423383,35.1196730206973
165,북구,두암동,문화초등학교,광주광역시 북구 군왕로 135 문화초 (두암동),062-260-2019,본관 1층 교장실 앞 복도,126.931337845295,35.1734172827004
166,동구,소태동,무등산골드클래스,"광주광역시 동구 학소로 109 (소태동', ' 무등산골드클래스)",2323199,정문경비실 내(1층),126.931970948775,35.1297377914349
167,남구,백운동,백운동 벽산아파트,"광주광역시 남구 독립로54번길 8 (백운동', ' 백운동 벽산아파트)",062-653-9732,전문 경비실,126.901851055244,35.1380031932367
168,남구,양림동,광주학강초등학교,"광주광역시 남구 양림로 92', ' 학강초등학교 (양림동)",062-720-5339,푸른동 중앙 현관,126.918085731635,35.1382006644559
